Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uu,01120142,2,"Monday, January 12, 2009 01:42:12 UTC",44.6488,-110.1980,1.6,6.90, 7,"Yellowstone National Park, Wyoming"
ci,10370713,1,"Monday, January 12, 2009 01:40:04 UTC",35.9713,-117.3296,1.3,3.80,13,"Central California"
ak,00086507,1,"Monday, January 12, 2009 00:59:27 UTC",63.5584,-147.3020,1.9,3.50,19,"Central Alaska"
ak,00086506,1,"Monday, January 12, 2009 00:36:31 UTC",61.0316,-150.6924,1.7,49.00,06,"Southern Alaska"
pr,p0901201,1,"Monday, January 12, 2009 00:09:53 UTC",19.3008,-66.1972,3.3,117.60,09,"Puerto Rico region"
ak,00086505,1,"Sunday, January 11, 2009 23:56:12 UTC",64.2727,-148.3524,1.0,0.30,09,"Central Alaska"
ak,00086502,1,"Sunday, January 11, 2009 23:40:37 UTC",60.6279,-151.8691,2.7,63.90,33,"Kenai Peninsula, Alaska"
ci,10370709,1,"Sunday, January 11, 2009 22:28:59 UTC",33.4211,-116.4255,1.2,17.10,31,"Southern California"
ci,10370705,1,"Sunday, January 11, 2009 22:19:05 UTC",33.4380,-116.4148,1.3,21.00,40,"Southern California"
ak,00086500,1,"Sunday, January 11, 2009 22:15:43 UTC",60.2855,-141.1869,1.4,17.50,07,"Southern Alaska"
nc,51215078,1,"Sunday, January 11, 2009 21:59:43 UTC",41.2533,-122.1610,1.7,11.10,10,"Northern California"
pr,p0901111,1,"Sunday, January 11, 2009 21:39:53 UTC",19.4417,-66.3108,3.3,75.90,08,"Puerto Rico region"
nc,51215077,1,"Sunday, January 11, 2009 21:32:55 UTC",39.2312,-123.4787,1.8,8.20,19,"Northern California"
nc,51215076,1,"Sunday, January 11, 2009 21:28:54 UTC",38.7537,-122.7558,1.6,10.00,25,"Northern California"
nc,51215075,1,"Sunday, January 11, 2009 21:17:50 UTC",38.8332,-122.7980,1.6,1.10,11,"Northern California"
ak,00086499,1,"Sunday, January 11, 2009 21:12:10 UTC",63.7306,-147.7242,1.4,41.60,04,"Central Alaska"
us,2009bsbl,6,"Sunday, January 11, 2009 21:00:18 UTC",-14.0238,-173.0024,4.9,35.00,42,"Samoa Islands region"
nc,51215073,1,"Sunday, January 11, 2009 20:44:08 UTC",38.7495,-122.7243,1.3,2.60,16,"Northern California"
pr,p0901113,1,"Sunday, January 11, 2009 20:41:35 UTC",18.6143,-64.8522,3.0,54.90,06,"Virgin Islands region"
ci,10370689,1,"Sunday, January 11, 2009 20:29:56 UTC",33.3670,-116.4063,1.4,14.10,29,"Southern California"
pr,p0901112,1,"Sunday, January 11, 2009 20:15:52 UTC",19.4513,-64.7920,3.4,64.80,06,"Virgin Islands region"
ak,00086453,1,"Sunday, January 11, 2009 19:58:43 UTC",63.0343,-150.6885,2.0,98.60,11,"Central Alaska"
