Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,51215004,1,"Saturday, January 10, 2009 18:14:55 UTC",38.8378,-122.8298,1.0,1.70,15,"Northern California"
nc,51215003,1,"Saturday, January 10, 2009 18:14:10 UTC",38.8375,-122.8300,1.3,1.80,13,"Northern California"
nc,51215002,1,"Saturday, January 10, 2009 18:12:52 UTC",38.8340,-122.8285,1.6,1.90,23,"Northern California"
nc,51215000,1,"Saturday, January 10, 2009 18:10:58 UTC",38.8375,-122.8298,1.2,1.10,13,"Northern California"
nc,51214998,1,"Saturday, January 10, 2009 18:07:04 UTC",38.8355,-122.8290,2.1,1.90,28,"Northern California"
hv,00032696,0,"Saturday, January 10, 2009 18:02:27 UTC",19.4055,-155.2635,1.7,0.00,00,"Island of Hawaii, Hawaii"
pr,p0901010,1,"Saturday, January 10, 2009 17:59:27 UTC",17.9007,-65.4020,2.5,8.30,06,"Puerto Rico region"
uu,01101757,2,"Saturday, January 10, 2009 17:57:33 UTC",37.0203,-113.4970,2.5,1.10, 6,"Utah"
nc,51214995,1,"Saturday, January 10, 2009 17:43:47 UTC",39.4418,-123.3270,1.7,2.50, 8,"Northern California"
ak,00086321,1,"Saturday, January 10, 2009 17:01:38 UTC",63.2978,-151.2206,1.2,11.70,04,"Central Alaska"
nc,51214994,1,"Saturday, January 10, 2009 16:57:53 UTC",38.8428,-122.8330,1.0,2.00,10,"Northern California"
nc,51214993,1,"Saturday, January 10, 2009 16:38:00 UTC",38.8207,-122.7845,1.6,2.30,19,"Northern California"
ak,00086320,1,"Saturday, January 10, 2009 16:02:08 UTC",61.8391,-149.9077,1.6,31.90,10,"Southern Alaska"
ak,00086319,1,"Saturday, January 10, 2009 15:48:48 UTC",60.1851,-151.7879,1.6,3.70,04,"Kenai Peninsula, Alaska"
ak,00086317,1,"Saturday, January 10, 2009 15:27:51 UTC",61.2304,-150.7676,1.5,67.50,09,"Southern Alaska"
nc,51214991,1,"Saturday, January 10, 2009 14:48:32 UTC",38.7942,-122.7672,1.6,3.10, 9,"Northern California"
ak,00086315,1,"Saturday, January 10, 2009 14:44:04 UTC",58.2465,-155.1352,1.8,5.00,04,"Alaska Peninsula"
nc,51214990,1,"Saturday, January 10, 2009 14:22:33 UTC",36.1692,-120.7350,2.9,9.60,105,"Central California"
nc,51214989,2,"Saturday, January 10, 2009 14:18:20 UTC",36.1688,-120.7345,3.0,9.70,117,"Central California"
ci,10370497,1,"Saturday, January 10, 2009 14:11:41 UTC",35.9821,-117.3083,1.4,4.30,14,"Central California"
ci,10370493,1,"Saturday, January 10, 2009 13:34:09 UTC",34.2485,-116.8733,1.6,9.80,36,"Southern California"
nc,51214988,1,"Saturday, January 10, 2009 13:31:30 UTC",38.8122,-122.8143,1.4,3.00,22,"Northern California"
nc,51214986,1,"Saturday, January 10, 2009 13:27:33 UTC",36.6445,-121.2632,1.1,6.70,12,"Central California"
ci,10370489,1,"Saturday, January 10, 2009 13:23:45 UTC",33.2308,-116.0503,1.5,10.20,34,"Southern California"
nc,51214984,1,"Saturday, January 10, 2009 13:09:38 UTC",38.8485,-122.8285,1.0,0.90,10,"Northern California"
ci,10370485,1,"Saturday, January 10, 2009 12:23:27 UTC",34.1596,-116.4298,1.6,9.90,24,"Southern California"
uu,01101200,2,"Saturday, January 10, 2009 12:00:27 UTC",44.6407,-110.1352,1.1,2.10, 6,"Yellowstone National Park, Wyoming"
us,2009bras,S,"Saturday, January 10, 2009 11:53:21 UTC",-35.3642,178.9377,5.0,175.70,24,"off the east coast of the North Island of New Zealand"
pr,p0901009,1,"Saturday, January 10, 2009 11:48:04 UTC",19.4718,-66.3270,3.5,50.50,07,"Puerto Rico region"
ci,10370477,1,"Saturday, January 10, 2009 11:35:02 UTC",33.9125,-115.8600,1.8,11.00,15,"Southern California"
ak,00086314,1,"Saturday, January 10, 2009 11:30:14 UTC",63.3787,-144.6374,1.6,9.20,12,"Central Alaska"
ci,10370473,1,"Saturday, January 10, 2009 11:09:33 UTC",33.1510,-115.7646,1.5,27.40,14,"Southern California"
